Airline,From,To,Source Airport,Destination Airport
US Airways,Baltimore,Chicago,BWI,ORD
US Airways,Baltimore,Philadelphia,BWI,PHL
US Airways,Baltimore,Phoenix,BWI,PHX
US Airways,Charlotte,Atlanta,CLT,ATL
US Airways,Charlotte,Boston,CLT,BOS
US Airways,Charlotte,Baltimore,CLT,BWI
US Airways,Charlotte,Washington,CLT,DCA
US Airways,Charlotte,Denver,CLT,DEN
US Airways,Charlotte,Detroit,CLT,DTW
US Airways,Charlotte,Washington,CLT,IAD
US Airways,Charlotte,Houston,CLT,IAH
US Airways,Charlotte,Los Angeles,CLT,LAX
US Airways,Charlotte,Orlando,CLT,MCO
US Airways,Charlotte,Miami,CLT,MIA
US Airways,Charlotte,Minneapolis,CLT,MSP
US Airways,Charlotte,Chicago,CLT,ORD
US Airways,Charlotte,Portland,CLT,PDX
US Airways,Charlotte,Philadelphia,CLT,PHL
US Airways,Charlotte,Phoenix,CLT,PHX
US Airways,Charlotte,Portland,CLT,PWM
US Airways,Charlotte,San Diego,CLT,SAN
US Airways,Charlotte,San Antonio,CLT,SAT
US Airways,Charlotte,Seattle,CLT,SEA
US Airways,Charlotte,San Francisco,CLT,SFO
US Airways,Charlotte,St. Louis,CLT,STL
US Airways,Charlotte,Tampa,CLT,TPA
US Airways,Washington,Boston,DCA,BOS
US Airways,Washington,Charlotte,DCA,CLT
US Airways,Washington,Detroit,DCA,DTW
US Airways,Washington,Los Angeles,DCA,LAX
US Airways,Washington,Orlando,DCA,MCO
US Airways,Washington,Miami,DCA,MIA
US Airways,Washington,Minneapolis,DCA,MSP
US Airways,Washington,Chicago,DCA,ORD
US Airways,Washington,Philadelphia,DCA,PHL
US Airways,Washington,Phoenix,DCA,PHX
US Airways,Washington,Portland,DCA,PWM
US Airways,Washington,San Diego,DCA,SAN
US Airways,Washington,St. Louis,DCA,STL
US Airways,Washington,Tampa,DCA,TPA
US Airways,Denver,Charlotte,DEN,CLT
US Airways,Denver,Los Angeles,DEN,LAX
US Airways,Denver,Miami,DEN,MIA
US Airways,Denver,Chicago,DEN,ORD
US Airways,Denver,Philadelphia,DEN,PHL
US Airways,Denver,Phoenix,DEN,PHX
US Airways,Detroit,Charlotte,DTW,CLT
US Airways,Detroit,Washington,DTW,DCA
US Airways,Detroit,Miami,DTW,MIA
US Airways,Detroit,Chicago,DTW,ORD
US Airways,Detroit,Philadelphia,DTW,PHL
US Airways,Detroit,Phoenix,DTW,PHX
US Airways,Washington,Charlotte,IAD,CLT
US Airways,Washington,Los Angeles,IAD,LAX
US Airways,Washington,Miami,IAD,MIA
US Airways,Houston,Charlotte,IAH,CLT
US Airways,Houston,Los Angeles,IAH,LAX
US Airways,Houston,Miami,IAH,MIA
US Airways,Houston,Chicago,IAH,ORD
US Airways,Houston,Philadelphia,IAH,PHL
US Airways,Houston,Phoenix,IAH,PHX
US Airways,Los Angeles,Boston,LAX,BOS
US Airways,Los Angeles,Charlotte,LAX,CLT
US Airways,Los Angeles,Washington,LAX,DCA
US Airways,Los Angeles,Denver,LAX,DEN
US Airways,Los Angeles,Washington,LAX,IAD
US Airways,Los Angeles,Houston,LAX,IAH
US Airways,Los Angeles,Orlando,LAX,MCO
US Airways,Los Angeles,Miami,LAX,MIA
US Airways,Los Angeles,Chicago,LAX,ORD
US Airways,Los Angeles,Philadelphia,LAX,PHL
US Airways,Los Angeles,Phoenix,LAX,PHX
US Airways,Los Angeles,San Diego,LAX,SAN
US Airways,Los Angeles,San Francisco,LAX,SFO
US Airways,Los Angeles,St. Louis,LAX,STL
US Airways,Orlando,Charlotte,MCO,CLT
US Airways,Orlando,Washington,MCO,DCA
US Airways,Orlando,Los Angeles,MCO,LAX
US Airways,Orlando,Miami,MCO,MIA
US Airways,Orlando,Chicago,MCO,ORD
US Airways,Orlando,Philadelphia,MCO,PHL
US Airways,Orlando,Phoenix,MCO,PHX
US Airways,Miami,Atlanta,MIA,ATL
US Airways,Miami,Boston,MIA,BOS
US Airways,Miami,Baltimore,MIA,BWI
US Airways,Miami,Charlotte,MIA,CLT
US Airways,Miami,Washington,MIA,DCA
US Airways,Miami,Denver,MIA,DEN
US Airways,Miami,Detroit,MIA,DTW
US Airways,Miami,Washington,MIA,IAD
US Airways,Miami,Houston,MIA,IAH
US Airways,Miami,Los Angeles,MIA,LAX
US Airways,Miami,Orlando,MIA,MCO
US Airways,Miami,Minneapolis,MIA,MSP
US Airways,Miami,Chicago,MIA,ORD
US Airways,Miami,Philadelphia,MIA,PHL
US Airways,Miami,Phoenix,MIA,PHX
US Airways,Miami,San Diego,MIA,SAN
US Airways,Miami,Seattle,MIA,SEA
US Airways,Miami,San Francisco,MIA,SFO
US Airways,Miami,St. Louis,MIA,STL
US Airways,Miami,Tampa,MIA,TPA
US Airways,Minneapolis,Charlotte,MSP,CLT
US Airways,Minneapolis,Washington,MSP,DCA
US Airways,Minneapolis,Miami,MSP,MIA
US Airways,Minneapolis,Chicago,MSP,ORD
US Airways,Minneapolis,Philadelphia,MSP,PHL
US Airways,Minneapolis,Phoenix,MSP,PHX
US Airways,Chicago,Atlanta,ORD,ATL
US Airways,Chicago,Boston,ORD,BOS
US Airways,Chicago,Baltimore,ORD,BWI
US Airways,Chicago,Charlotte,ORD,CLT
US Airways,Chicago,Washington,ORD,DCA
US Airways,Chicago,Denver,ORD,DEN
US Airways,Chicago,Detroit,ORD,DTW
US Airways,Chicago,Houston,ORD,IAH
US Airways,Chicago,Los Angeles,ORD,LAX
US Airways,Chicago,Orlando,ORD,MCO
US Airways,Chicago,Miami,ORD,MIA
US Airways,Chicago,Minneapolis,ORD,MSP
US Airways,Chicago,Portland,ORD,PDX
US Airways,Chicago,Philadelphia,ORD,PHL
US Airways,Chicago,Phoenix,ORD,PHX
US Airways,Chicago,San Diego,ORD,SAN
US Airways,Chicago,San Antonio,ORD,SAT
US Airways,Chicago,Seattle,ORD,SEA
US Airways,Chicago,San Francisco,ORD,SFO
US Airways,Chicago,St. Louis,ORD,STL
US Airways,Chicago,Tampa,ORD,TPA
US Airways,Portland,Charlotte,PDX,CLT
US Airways,Portland,Chicago,PDX,ORD
US Airways,Portland,Philadelphia,PDX,PHL
US Airways,Portland,Phoenix,PDX,PHX
US Airways,Philadelphia,Atlanta,PHL,ATL
US Airways,Philadelphia,Boston,PHL,BOS
US Airways,Philadelphia,Baltimore,PHL,BWI
US Airways,Philadelphia,Charlotte,PHL,CLT
US Airways,Philadelphia,Washington,PHL,DCA
US Airways,Philadelphia,Denver,PHL,DEN
US Airways,Philadelphia,Detroit,PHL,DTW
US Airways,Philadelphia,Houston,PHL,IAH
US Airways,Philadelphia,Los Angeles,PHL,LAX
US Airways,Philadelphia,Orlando,PHL,MCO
US Airways,Philadelphia,Miami,PHL,MIA
US Airways,Philadelphia,Minneapolis,PHL,MSP
US Airways,Philadelphia,Chicago,PHL,ORD
US Airways,Philadelphia,Portland,PHL,PDX
US Airways,Philadelphia,Phoenix,PHL,PHX
US Airways,Philadelphia,Portland,PHL,PWM
US Airways,Philadelphia,San Diego,PHL,SAN
US Airways,Philadelphia,San Antonio,PHL,SAT
US Airways,Philadelphia,Seattle,PHL,SEA
US Airways,Philadelphia,San Francisco,PHL,SFO
US Airways,Philadelphia,St. Louis,PHL,STL
US Airways,Philadelphia,Tampa,PHL,TPA
US Airways,Phoenix,Atlanta,PHX,ATL
US Airways,Phoenix,Boston,PHX,BOS
US Airways,Phoenix,Baltimore,PHX,BWI
US Airways,Phoenix,Charlotte,PHX,CLT
US Airways,Phoenix,Washington,PHX,DCA
US Airways,Phoenix,Denver,PHX,DEN
US Airways,Phoenix,Detroit,PHX,DTW
US Airways,Phoenix,Houston,PHX,IAH
US Airways,Phoenix,Los Angeles,PHX,LAX
US Airways,Phoenix,Orlando,PHX,MCO
US Airways,Phoenix,Miami,PHX,MIA
US Airways,Phoenix,Minneapolis,PHX,MSP
US Airways,Phoenix,Chicago,PHX,ORD
US Airways,Phoenix,Portland,PHX,PDX
US Airways,Phoenix,Philadelphia,PHX,PHL
US Airways,Phoenix,San Diego,PHX,SAN
US Airways,Phoenix,San Antonio,PHX,SAT
US Airways,Phoenix,Seattle,PHX,SEA
US Airways,Phoenix,San Francisco,PHX,SFO
US Airways,Phoenix,St. Louis,PHX,STL
US Airways,Phoenix,Tampa,PHX,TPA
US Airways,San Diego,Charlotte,SAN,CLT
US Airways,San Diego,Washington,SAN,DCA
US Airways,San Diego,Los Angeles,SAN,LAX
US Airways,San Diego,Miami,SAN,MIA
US Airways,San Diego,Chicago,SAN,ORD
US Airways,San Diego,Philadelphia,SAN,PHL
US Airways,San Diego,Phoenix,SAN,PHX
US Airways,San Antonio,Charlotte,SAT,CLT
US Airways,San Antonio,Chicago,SAT,ORD
US Airways,San Antonio,Philadelphia,SAT,PHL
US Airways,San Antonio,Phoenix,SAT,PHX
US Airways,Seattle,Charlotte,SEA,CLT
US Airways,Seattle,Miami,SEA,MIA
US Airways,Seattle,Chicago,SEA,ORD
US Airways,Seattle,Philadelphia,SEA,PHL
US Airways,Seattle,Phoenix,SEA,PHX
US Airways,San Francisco,Charlotte,SFO,CLT
US Airways,San Francisco,Los Angeles,SFO,LAX
US Airways,San Francisco,Miami,SFO,MIA
US Airways,San Francisco,Chicago,SFO,ORD
US Airways,San Francisco,Philadelphia,SFO,PHL
US Airways,San Francisco,Phoenix,SFO,PHX
US Airways,St. Louis,Charlotte,STL,CLT
US Airways,St. Louis,Washington,STL,DCA
US Airways,St. Louis,Los Angeles,STL,LAX
US Airways,St. Louis,Miami,STL,MIA
US Airways,St. Louis,Chicago,STL,ORD
US Airways,St. Louis,Philadelphia,STL,PHL
US Airways,St. Louis,Phoenix,STL,PHX
US Airways,Tampa,Charlotte,TPA,CLT
US Airways,Tampa,Washington,TPA,DCA
US Airways,Tampa,Miami,TPA,MIA
US Airways,Tampa,Chicago,TPA,ORD
US Airways,Tampa,Philadelphia,TPA,PHL
US Airways,Tampa,Phoenix,TPA,PHX
Virgin Australia Airlines,Atlanta,Houston,ATL,IAH
Virgin Australia Airlines,Atlanta,Los Angeles,ATL,LAX
Virgin Australia Airlines,Atlanta,Miami,ATL,MIA
Virgin Australia Airlines,Houston,Atlanta,IAH,ATL
Virgin Australia Airlines,Los Angeles,Atlanta,LAX,ATL
Virgin Australia Airlines,Miami,Atlanta,MIA,ATL
Virgin Atlantic,Atlanta,Boston,ATL,BOS
Virgin Atlantic,Atlanta,Charlotte,ATL,CLT
Virgin Atlantic,Atlanta,Dallas,ATL,DAL
Virgin Atlantic,Atlanta,Denver,ATL,DEN
Virgin Atlantic,Atlanta,Detroit,ATL,DTW
Virgin Atlantic,Atlanta,Houston,ATL,HOU
Virgin Atlantic,Atlanta,Washington,ATL,IAD
Virgin Atlantic,Atlanta,Houston,ATL,IAH
Virgin Atlantic,Atlanta,Los Angeles,ATL,LAX
Virgin Atlantic,Atlanta,Orlando,ATL,MCO
Virgin Atlantic,Atlanta,Miami,ATL,MIA
Virgin Atlantic,Atlanta,Chicago,ATL,ORD
Virgin Atlantic,Atlanta,Phoenix,ATL,PHX
Virgin Atlantic,Atlanta,San Diego,ATL,SAN
Virgin Atlantic,Atlanta,San Antonio,ATL,SAT
Virgin Atlantic,Atlanta,San Francisco,ATL,SFO
Virgin Atlantic,Atlanta,St. Louis,ATL,STL
Virgin Atlantic,Atlanta,Tampa,ATL,TPA
Virgin Atlantic,Boston,Atlanta,BOS,ATL
Virgin Atlantic,Charlotte,Atlanta,CLT,ATL
Virgin Atlantic,Dallas,Atlanta,DAL,ATL
Virgin Atlantic,Denver,Atlanta,DEN,ATL
Virgin Atlantic,Detroit,Atlanta,DTW,ATL
Virgin Atlantic,Houston,Atlanta,HOU,ATL
Virgin Atlantic,Washington,Atlanta,IAD,ATL
Virgin Atlantic,Houston,Atlanta,IAH,ATL
Virgin Atlantic,Los Angeles,Atlanta,LAX,ATL
Virgin Atlantic,Orlando,Atlanta,MCO,ATL
Virgin Atlantic,Miami,Atlanta,MIA,ATL
Virgin Atlantic,Chicago,Atlanta,ORD,ATL
Virgin Atlantic,Phoenix,Atlanta,PHX,ATL
Virgin Atlantic,San Diego,Atlanta,SAN,ATL
Virgin Atlantic,San Antonio,Atlanta,SAT,ATL
Virgin Atlantic,San Francisco,Atlanta,SFO,ATL
Virgin Atlantic,St. Louis,Atlanta,STL,ATL
Virgin Atlantic,Tampa,Atlanta,TPA,ATL
Virgin America,Boston,Los Angeles,BOS,LAX
Virgin America,Boston,San Francisco,BOS,SFO
Virgin America,Washington,San Francisco,DCA,SFO
Virgin America,Washington,Los Angeles,IAD,LAX
Virgin America,Washington,San Francisco,IAD,SFO
Virgin America,Los Angeles,Boston,LAX,BOS
Virgin America,Los Angeles,Washington,LAX,IAD
Virgin America,Los Angeles,Orlando,LAX,MCO
Virgin America,Los Angeles,Chicago,LAX,ORD
Virgin America,Los Angeles,Philadelphia,LAX,PHL
Virgin America,Los Angeles,Seattle,LAX,SEA
Virgin America,Los Angeles,San Francisco,LAX,SFO
Virgin America,Orlando,Los Angeles,MCO,LAX
Virgin America,Orlando,San Francisco,MCO,SFO
Virgin America,Chicago,Los Angeles,ORD,LAX
Virgin America,Chicago,San Francisco,ORD,SFO
Virgin America,Portland,San Francisco,PDX,SFO
Virgin America,Philadelphia,Los Angeles,PHL,LAX
Virgin America,Philadelphia,San Francisco,PHL,SFO
Virgin America,San Diego,San Francisco,SAN,SFO
Virgin America,Seattle,Los Angeles,SEA,LAX
Virgin America,Seattle,San Francisco,SEA,SFO
Virgin America,San Francisco,Boston,SFO,BOS
Virgin America,San Francisco,Washington,SFO,DCA
Virgin America,San Francisco,Washington,SFO,IAD
Virgin America,San Francisco,Los Angeles,SFO,LAX
Virgin America,San Francisco,Orlando,SFO,MCO
Virgin America,San Francisco,Chicago,SFO,ORD
Virgin America,San Francisco,Portland,SFO,PDX
Virgin America,San Francisco,Philadelphia,SFO,PHL
Virgin America,San Francisco,San Diego,SFO,SAN
Virgin America,San Francisco,Seattle,SFO,SEA
Southwest Airlines,Atlanta,Boston,ATL,BOS
Southwest Airlines,Atlanta,Baltimore,ATL,BWI
Southwest Airlines,Atlanta,Washington,ATL,DCA
Southwest Airlines,Atlanta,Denver,ATL,DEN
Southwest Airlines,Atlanta,Detroit,ATL,DTW
Southwest Airlines,Atlanta,Houston,ATL,HOU
Southwest Airlines,Atlanta,Los Angeles,ATL,LAX
Southwest Airlines,Atlanta,Orlando,ATL,MCO
Southwest Airlines,Atlanta,Chicago,ATL,MDW
Southwest Airlines,Atlanta,Minneapolis,ATL,MSP
Southwest Airlines,Atlanta,Philadelphia,ATL,PHL
Southwest Airlines,Atlanta,Phoenix,ATL,PHX
Southwest Airlines,Atlanta,San Diego,ATL,SAN
Southwest Airlines,Atlanta,San Antonio,ATL,SAT
Southwest Airlines,Atlanta,San Francisco,ATL,SFO
Southwest Airlines,Atlanta,St. Louis,ATL,STL
Southwest Airlines,Atlanta,Tampa,ATL,TPA
Southwest Airlines,Boston,Atlanta,BOS,ATL
Southwest Airlines,Boston,Baltimore,BOS,BWI
Southwest Airlines,Boston,Denver,BOS,DEN
Southwest Airlines,Boston,Houston,BOS,HOU
Southwest Airlines,Boston,Chicago,BOS,MDW
Southwest Airlines,Boston,St. Louis,BOS,STL
Southwest Airlines,Baltimore,Atlanta,BWI,ATL
Southwest Airlines,Baltimore,Boston,BWI,BOS
Southwest Airlines,Baltimore,Charlotte,BWI,CLT
Southwest Airlines,Baltimore,Denver,BWI,DEN
Southwest Airlines,Baltimore,Detroit,BWI,DTW
Southwest Airlines,Baltimore,Houston,BWI,HOU
Southwest Airlines,Baltimore,Los Angeles,BWI,LAX
Southwest Airlines,Baltimore,Orlando,BWI,MCO
Southwest Airlines,Baltimore,Chicago,BWI,MDW
Southwest Airlines,Baltimore,Phoenix,BWI,PHX
Southwest Airlines,Baltimore,Portland,BWI,PWM
Southwest Airlines,Baltimore,San Diego,BWI,SAN
Southwest Airlines,Baltimore,San Antonio,BWI,SAT
Southwest Airlines,Baltimore,Seattle,BWI,SEA
Southwest Airlines,Baltimore,St. Louis,BWI,STL
Southwest Airlines,Baltimore,Tampa,BWI,TPA
Southwest Airlines,Charlotte,Baltimore,CLT,BWI
Southwest Airlines,Charlotte,Houston,CLT,HOU
Southwest Airlines,Charlotte,Orlando,CLT,MCO
Southwest Airlines,Charlotte,Chicago,CLT,MDW
Southwest Airlines,Dallas,Houston,DAL,HOU
Southwest Airlines,Dallas,San Antonio,DAL,SAT
Southwest Airlines,Dallas,St. Louis,DAL,STL
Southwest Airlines,Washington,Atlanta,DCA,ATL
Southwest Airlines,Washington,Houston,DCA,HOU
Southwest Airlines,Washington,St. Louis,DCA,STL
Southwest Airlines,Denver,Atlanta,DEN,ATL
Southwest Airlines,Denver,Boston,DEN,BOS
Southwest Airlines,Denver,Baltimore,DEN,BWI
Southwest Airlines,Denver,Detroit,DEN,DTW
Southwest Airlines,Denver,Houston,DEN,HOU
Southwest Airlines,Denver,Washington,DEN,IAD
Southwest Airlines,Denver,Los Angeles,DEN,LAX
Southwest Airlines,Denver,Orlando,DEN,MCO
Southwest Airlines,Denver,Chicago,DEN,MDW
Southwest Airlines,Denver,Minneapolis,DEN,MSP
Southwest Airlines,Denver,Portland,DEN,PDX
Southwest Airlines,Denver,Philadelphia,DEN,PHL
Southwest Airlines,Denver,Phoenix,DEN,PHX
Southwest Airlines,Denver,San Diego,DEN,SAN
Southwest Airlines,Denver,San Antonio,DEN,SAT
Southwest Airlines,Denver,Seattle,DEN,SEA
Southwest Airlines,Denver,San Francisco,DEN,SFO
Southwest Airlines,Denver,St. Louis,DEN,STL
Southwest Airlines,Denver,Tampa,DEN,TPA
Southwest Airlines,Detroit,Atlanta,DTW,ATL
Southwest Airlines,Detroit,Baltimore,DTW,BWI
Southwest Airlines,Detroit,Denver,DTW,DEN
Southwest Airlines,Detroit,Chicago,DTW,MDW
Southwest Airlines,Detroit,Phoenix,DTW,PHX
Southwest Airlines,Detroit,St. Louis,DTW,STL
Southwest Airlines,Houston,Atlanta,HOU,ATL
Southwest Airlines,Houston,Boston,HOU,BOS
Southwest Airlines,Houston,Baltimore,HOU,BWI
Southwest Airlines,Houston,Charlotte,HOU,CLT
Southwest Airlines,Houston,Dallas,HOU,DAL
Southwest Airlines,Houston,Washington,HOU,DCA
Southwest Airlines,Houston,Denver,HOU,DEN
Southwest Airlines,Houston,Los Angeles,HOU,LAX
Southwest Airlines,Houston,Orlando,HOU,MCO
Southwest Airlines,Houston,Chicago,HOU,MDW
Southwest Airlines,Houston,Phoenix,HOU,PHX
Southwest Airlines,Houston,San Diego,HOU,SAN
Southwest Airlines,Houston,San Antonio,HOU,SAT
Southwest Airlines,Houston,St. Louis,HOU,STL
Southwest Airlines,Houston,Tampa,HOU,TPA
Southwest Airlines,Washington,Denver,IAD,DEN
Southwest Airlines,Washington,Chicago,IAD,MDW
Southwest Airlines,Los Angeles,Atlanta,LAX,ATL
Southwest Airlines,Los Angeles,Baltimore,LAX,BWI
Southwest Airlines,Los Angeles,Denver,LAX,DEN
Southwest Airlines,Los Angeles,Houston,LAX,HOU
Southwest Airlines,Los Angeles,Chicago,LAX,MDW
Southwest Airlines,Los Angeles,Phoenix,LAX,PHX
Southwest Airlines,Los Angeles,San Antonio,LAX,SAT
Southwest Airlines,Los Angeles,San Francisco,LAX,SFO
Southwest Airlines,Los Angeles,St. Louis,LAX,STL
Southwest Airlines,Orlando,Atlanta,MCO,ATL
Southwest Airlines,Orlando,Baltimore,MCO,BWI
Southwest Airlines,Orlando,Charlotte,MCO,CLT
Southwest Airlines,Orlando,Denver,MCO,DEN
Southwest Airlines,Orlando,Houston,MCO,HOU
Southwest Airlines,Orlando,Chicago,MCO,MDW
Southwest Airlines,Orlando,Minneapolis,MCO,MSP
Southwest Airlines,Orlando,Philadelphia,MCO,PHL
Southwest Airlines,Orlando,Phoenix,MCO,PHX
Southwest Airlines,Orlando,San Antonio,MCO,SAT
Southwest Airlines,Orlando,St. Louis,MCO,STL
Southwest Airlines,Chicago,Atlanta,MDW,ATL
Southwest Airlines,Chicago,Boston,MDW,BOS
Southwest Airlines,Chicago,Baltimore,MDW,BWI
Southwest Airlines,Chicago,Charlotte,MDW,CLT
Southwest Airlines,Chicago,Denver,MDW,DEN
Southwest Airlines,Chicago,Detroit,MDW,DTW
Southwest Airlines,Chicago,Houston,MDW,HOU
Southwest Airlines,Chicago,Washington,MDW,IAD
Southwest Airlines,Chicago,Los Angeles,MDW,LAX
Southwest Airlines,Chicago,Orlando,MDW,MCO
Southwest Airlines,Chicago,Minneapolis,MDW,MSP
Southwest Airlines,Chicago,Portland,MDW,PDX
Southwest Airlines,Chicago,Philadelphia,MDW,PHL
Southwest Airlines,Chicago,Phoenix,MDW,PHX
Southwest Airlines,Chicago,San Diego,MDW,SAN
Southwest Airlines,Chicago,San Antonio,MDW,SAT
Southwest Airlines,Chicago,Seattle,MDW,SEA
Southwest Airlines,Chicago,San Francisco,MDW,SFO
Southwest Airlines,Chicago,St. Louis,MDW,STL
Southwest Airlines,Chicago,Tampa,MDW,TPA
Southwest Airlines,Minneapolis,Atlanta,MSP,ATL
Southwest Airlines,Minneapolis,Denver,MSP,DEN
Southwest Airlines,Minneapolis,Orlando,MSP,MCO
Southwest Airlines,Minneapolis,Chicago,MSP,MDW
Southwest Airlines,Minneapolis,Phoenix,MSP,PHX
Southwest Airlines,Minneapolis,St. Louis,MSP,STL
Southwest Airlines,Portland,Denver,PDX,DEN
Southwest Airlines,Portland,Chicago,PDX,MDW
Southwest Airlines,Portland,Phoenix,PDX,PHX
Southwest Airlines,Philadelphia,Atlanta,PHL,ATL
Southwest Airlines,Philadelphia,Denver,PHL,DEN
Southwest Airlines,Philadelphia,Orlando,PHL,MCO
Southwest Airlines,Philadelphia,Chicago,PHL,MDW
Southwest Airlines,Philadelphia,Phoenix,PHL,PHX
Southwest Airlines,Philadelphia,St. Louis,PHL,STL
Southwest Airlines,Philadelphia,Tampa,PHL,TPA
Southwest Airlines,Phoenix,Atlanta,PHX,ATL
Southwest Airlines,Phoenix,Baltimore,PHX,BWI
Southwest Airlines,Phoenix,Denver,PHX,DEN
Southwest Airlines,Phoenix,Detroit,PHX,DTW
Southwest Airlines,Phoenix,Houston,PHX,HOU
Southwest Airlines,Phoenix,Los Angeles,PHX,LAX
Southwest Airlines,Phoenix,Orlando,PHX,MCO
Southwest Airlines,Phoenix,Chicago,PHX,MDW
Southwest Airlines,Phoenix,Minneapolis,PHX,MSP
Southwest Airlines,Phoenix,Portland,PHX,PDX
Southwest Airlines,Phoenix,Philadelphia,PHX,PHL
Southwest Airlines,Phoenix,San Diego,PHX,SAN
Southwest Airlines,Phoenix,San Antonio,PHX,SAT
Southwest Airlines,Phoenix,Seattle,PHX,SEA
Southwest Airlines,Phoenix,San Francisco,PHX,SFO
Southwest Airlines,Phoenix,St. Louis,PHX,STL
Southwest Airlines,Phoenix,Tampa,PHX,TPA
Southwest Airlines,San Diego,Atlanta,SAN,ATL
Southwest Airlines,San Diego,Baltimore,SAN,BWI
Southwest Airlines,San Diego,Denver,SAN,DEN
Southwest Airlines,San Diego,Houston,SAN,HOU
Southwest Airlines,San Diego,Chicago,SAN,MDW
Southwest Airlines,San Diego,Phoenix,SAN,PHX
Southwest Airlines,San Diego,San Antonio,SAN,SAT
Southwest Airlines,San Diego,San Francisco,SAN,SFO
Southwest Airlines,San Diego,St. Louis,SAN,STL
Southwest Airlines,San Antonio,Atlanta,SAT,ATL
Southwest Airlines,San Antonio,Baltimore,SAT,BWI
Southwest Airlines,San Antonio,Dallas,SAT,DAL
Southwest Airlines,San Antonio,Denver,SAT,DEN
Southwest Airlines,San Antonio,Houston,SAT,HOU
Southwest Airlines,San Antonio,Los Angeles,SAT,LAX
Southwest Airlines,San Antonio,Orlando,SAT,MCO
Southwest Airlines,San Antonio,Chicago,SAT,MDW
Southwest Airlines,San Antonio,Phoenix,SAT,PHX
Southwest Airlines,San Antonio,San Diego,SAT,SAN
Southwest Airlines,San Antonio,St. Louis,SAT,STL
Southwest Airlines,San Antonio,Tampa,SAT,TPA
Southwest Airlines,Seattle,Baltimore,SEA,BWI
Southwest Airlines,Seattle,Denver,SEA,DEN
Southwest Airlines,Seattle,Chicago,SEA,MDW
Southwest Airlines,Seattle,Phoenix,SEA,PHX
Southwest Airlines,San Francisco,Atlanta,SFO,ATL
Southwest Airlines,San Francisco,Denver,SFO,DEN
Southwest Airlines,San Francisco,Los Angeles,SFO,LAX
Southwest Airlines,San Francisco,Chicago,SFO,MDW
Southwest Airlines,San Francisco,Phoenix,SFO,PHX
Southwest Airlines,San Francisco,San Diego,SFO,SAN
Southwest Airlines,St. Louis,Atlanta,STL,ATL
Southwest Airlines,St. Louis,Boston,STL,BOS
Southwest Airlines,St. Louis,Baltimore,STL,BWI
Southwest Airlines,St. Louis,Dallas,STL,DAL
Southwest Airlines,St. Louis,Washington,STL,DCA
Southwest Airlines,St. Louis,Denver,STL,DEN
Southwest Airlines,St. Louis,Detroit,STL,DTW
Southwest Airlines,St. Louis,Houston,STL,HOU
Southwest Airlines,St. Louis,Los Angeles,STL,LAX
Southwest Airlines,St. Louis,Orlando,STL,MCO
Southwest Airlines,St. Louis,Chicago,STL,MDW
Southwest Airlines,St. Louis,Minneapolis,STL,MSP
Southwest Airlines,St. Louis,Philadelphia,STL,PHL
Southwest Airlines,St. Louis,Phoenix,STL,PHX
Southwest Airlines,St. Louis,San Diego,STL,SAN
Southwest Airlines,St. Louis,San Antonio,STL,SAT
Southwest Airlines,St. Louis,Tampa,STL,TPA
Southwest Airlines,Tampa,Atlanta,TPA,ATL
Southwest Airlines,Tampa,Baltimore,TPA,BWI
Southwest Airlines,Tampa,Denver,TPA,DEN
Southwest Airlines,Tampa,Houston,TPA,HOU
Southwest Airlines,Tampa,Chicago,TPA,MDW
Southwest Airlines,Tampa,Philadelphia,TPA,PHL
Southwest Airlines,Tampa,Phoenix,TPA,PHX
Southwest Airlines,Tampa,San Antonio,TPA,SAT
Southwest Airlines,Tampa,St. Louis,TPA,STL
